week,p2.5,p25,median,p75,p97.5
0,7.0,9.0,11.0,13.0,15.0
1,0.0,0.5,1.0,1.5,2.0
2,1.8,2.4,2.8,3.2,4.0
3,0.0,0.0,1.0,2.0,3.0
4,0.0,0.333,0.5,0.667,1.167
5,0.0,0.0,0.5,0.5,1.5
6,0.333,1.0,1.333,2.0,3.0
7,0.333,0.667,1.0,1.667,2.667
8,0.0,0.4,0.6,0.8,1.4
9,1.4,2.2,2.4,2.8,3.6
10,0.909,1.273,1.455,1.636,2.0
11,0.167,0.5,0.667,1.0,1.5
12,0.4,0.8,1.2,1.4,2.0
13,0.0,0.2,0.4,0.6,1.005
14,0.4,0.8,1.0,1.2,1.8
15,0.0,0.111,0.222,0.333,0.558
16,0.0,0.0,0.25,0.5,1.0
17,0.286,0.571,0.714,0.857,1.286
18,0.0,0.4,0.6,0.8,1.2
19,0.0,0.0,0.0,0.25,0.5
20,0.0,0.167,0.167,0.333,0.667
21,0.0,1.0,1.5,2.0,3.0
22,0.0,1.0,2.0,2.0,4.0
23,0.0,0.333,0.667,0.667,1.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,2.0,2.0,4.0
28,1.667,2.333,3.0,3.333,4.333
29,0.333,0.667,1.0,1.333,2.0
30,5.0,7.0,8.0,9.0,11.0
31,0.0,0.333,0.667,1.0,1.667
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.25
36,0.0,0.0,0.0,0.0,0.2
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,2.0,2.0,3.0,3.0,4.0
41,0.0,0.5,0.5,1.0,1.5
42,0.0,0.0,0.0,0.0,0.333
43,0.0,0.0,0.0,0.0,0.0
44,2.0,3.0,4.0,4.0,6.0
45,0.0,0.0,0.0,0.0,0.0
46,0.2,0.4,0.6,0.8,1.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.5,0.5,0.5,1.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
