week,p2.5,p25,median,p75,p97.5
0,0.0,0.0,1.0,2.0,3.0
1,3.5,5.0,5.5,6.0,7.5
2,0.4,1.0,1.2,1.4,2.0
3,0.0,1.0,2.0,3.0,5.0
4,1.167,1.667,2.0,2.333,2.833
5,0.0,1.0,1.5,2.0,3.0
6,0.333,1.333,1.667,2.0,3.0
7,0.667,1.333,1.667,2.333,3.333
8,1.6,2.2,2.6,3.0,3.805
9,0.0,0.4,0.6,0.8,1.4
10,0.273,0.545,0.636,0.818,1.091
11,0.167,0.667,0.833,1.167,1.667
12,0.6,1.0,1.2,1.6,2.2
13,0.0,0.4,0.6,0.8,1.4
14,0.2,0.6,1.0,1.2,1.8
15,0.444,0.667,0.889,1.111,1.444
16,0.0,0.25,0.5,0.75,1.25
17,0.0,0.143,0.143,0.286,0.571
18,0.0,0.2,0.2,0.4,0.8
19,0.0,0.25,0.5,0.75,1.0
20,0.0,0.167,0.333,0.333,0.5
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,2.333,2.333,2.667,3.0,3.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1.0,2.0
28,0.0,0.0,0.333,0.667,1.0
29,0.0,0.333,0.667,1.0,1.667
30,0.0,0.0,0.0,1.0,2.0
31,1.0,1.667,2.0,2.333,3.333
32,0.0,1.0,1.0,2.0,4.0
33,0.5,1.0,1.5,2.0,3.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.5,0.5,0.75,1.5
36,0.0,0.2,0.4,0.6,0.8
37,0.0,0.0,0.0,1.0,2.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,1.0,2.0,3.0
41,0.0,1.0,1.0,1.5,2.5
42,0.667,1.0,1.333,1.667,2.333
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,1.0,2.0,4.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.4,0.4,0.6,1.0
47,0.0,0.0,0.0,0.5,1.0
48,0.0,0.0,0.0,0.0,0.5
49,0.0,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
