week,p2.5,p25,median,p75,p97.5
0,0.225,1.0,1.0,1.0,1.775
1,5.0,5.5,6.0,6.375,6.5
2,0.4,0.4,0.5,0.6,0.955
3,1.0,2.0,2.5,3.0,3.0
4,1.333,1.5,1.667,1.833,2.092
5,0.0,0.0,0.0,0.0,0.888
6,0.0,0.0,0.0,0.333,0.333
7,0.0,0.0,0.333,0.583,0.667
8,4.09,4.8,5.1,5.4,6.0
9,0.0,0.0,0.0,0.15,0.355
10,0.364,0.477,0.636,0.705,0.959
11,0.0,0.0,0.167,0.292,0.5
12,2.0,2.0,2.2,2.35,2.91
13,0.0,0.0,0.0,0.15,0.355
14,2.135,2.6,2.8,3.0,3.2
15,0.778,0.889,1.167,1.222,1.394
16,0.0,0.062,0.25,0.25,0.25
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.2,0.3,0.4,0.555
19,0.306,0.5,0.625,0.75,0.944
20,0.0,0.042,0.167,0.167,0.333
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,2.075,2.333,2.333,2.333,2.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,1.0,1.0,1.775
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.5,0.5
32,0.0,0.0,0.0,0.0,0.0
