week,p2.5,p25,median,p75,p97.5
0,1.0,3.0,4.0,5.0,8.0
1,1.0,2.5,3.0,3.5,5.0
2,1.4,1.8,2.2,2.4,3.2
3,0.0,1.0,2.0,2.0,4.0
4,0.667,1.167,1.333,1.667,2.167
5,0.0,1.0,1.5,2.0,3.0
6,0.333,1.333,1.667,2.0,3.333
7,0.333,1.0,1.667,2.0,3.333
8,1.2,1.6,2.0,2.2,3.0
9,0.6,1.2,1.4,1.8,2.4
10,0.545,0.818,0.909,1.091,1.366
11,0.5,0.833,1.0,1.333,1.833
12,0.2,0.6,0.8,1.2,1.8
13,0.2,0.4,0.8,1.0,1.4
14,0.0,0.4,0.6,0.8,1.4
15,0.111,0.444,0.556,0.667,1.111
16,0.0,0.25,0.5,0.75,1.25
17,0.0,0.286,0.429,0.571,0.857
18,0.2,0.4,0.4,0.6,1.0
19,0.0,0.0,0.25,0.5,0.75
20,0.0,0.167,0.167,0.333,0.667
21,0.0,0.5,1.0,1.5,2.5
22,0.0,0.0,1.0,2.0,3.0
23,0.333,0.667,1.0,1.333,2.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,1.0,2.0,4.0
28,0.333,1.0,1.333,2.0,2.667
29,0.333,1.0,1.333,1.667,2.333
30,0.0,0.0,1.0,2.0,4.0
31,0.0,0.667,1.0,1.333,2.333
32,0.0,0.0,1.0,1.0,3.0
33,0.0,0.5,0.5,1.0,2.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.2,0.4,0.6,0.8
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
