week,p2.5,p25,median,p75,p97.5
0,0.0,0.0,1.0,1.0,2.0
1,4.5,5.5,6.0,7.0,8.0
2,0.2,0.6,0.6,0.8,1.2
3,0.0,1.0,2.0,2.0,4.0
4,1.167,1.667,2.0,2.167,2.667
5,0.0,0.0,0.5,0.5,1.5
6,0.0,0.333,0.667,1.0,1.667
7,0.0,0.333,0.667,1.0,2.0
8,3.4,4.0,4.4,4.8,5.6
9,0.0,0.0,0.2,0.4,0.6
10,0.182,0.455,0.636,0.727,1.091
11,0.0,0.333,0.5,0.667,1.167
12,1.0,1.6,1.8,2.2,2.8
13,0.0,0.2,0.4,0.6,1.0
14,0.8,1.4,1.8,2.0,2.6
15,0.667,0.889,1.111,1.333,1.667
16,0.0,0.25,0.25,0.5,1.0
17,0.0,0.0,0.0,0.143,0.286
18,0.0,0.2,0.2,0.4,0.8
19,0.25,0.5,0.75,0.75,1.25
20,0.0,0.167,0.167,0.333,0.5
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,2.667,2.667,3.0,3.0,3.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.333
29,0.0,0.0,0.0,0.333,0.667
30,0.0,0.0,0.0,0.0,1.0
31,3.0,3.667,4.0,4.333,5.0
32,0.0,0.0,1.0,1.0,3.0
33,0.0,0.5,1.0,1.5,2.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.25,0.25,0.5
36,0.0,0.2,0.2,0.4,0.605
37,0.0,0.0,1.0,2.0,3.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.0,1.0
41,0.0,1.0,1.5,2.0,3.0
42,0.667,1.333,1.667,2.333,3.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,1.0,1.0,3.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.2,0.4,0.6,0.805
47,0.0,0.0,0.0,0.5,1.0
48,0.0,0.0,0.0,0.0,0.5
49,0.0,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
