week,p2.5,p25,median,p75,p97.5
0,10.0,13.0,15.0,16.0,19.0
1,0.0,0.0,0.5,0.5,1.5
2,1.795,2.4,2.6,3.0,3.605
3,0.0,0.0,0.0,1.0,2.0
4,0.0,0.167,0.333,0.333,0.667
5,0.0,0.0,0.0,0.5,1.0
6,0.333,0.667,1.333,1.667,2.667
7,0.0,0.333,0.667,1.0,1.667
8,0.0,0.4,0.4,0.6,1.2
9,1.8,2.4,2.8,3.2,3.8
10,1.0,1.364,1.545,1.727,2.091
11,0.0,0.333,0.5,0.667,1.0
12,0.8,1.4,1.6,2.0,2.6
13,0.0,0.2,0.2,0.4,0.8
14,0.4,0.8,1.0,1.4,1.8
15,0.0,0.111,0.222,0.333,0.556
16,0.0,0.0,0.25,0.25,0.75
17,0.286,0.714,0.857,1.0,1.429
18,0.2,0.6,0.8,1.0,1.4
19,0.0,0.0,0.0,0.25,0.5
20,0.0,0.167,0.167,0.333,0.5
21,0.5,1.0,1.5,2.0,3.0
22,0.0,1.0,2.0,3.0,5.0
23,0.0,0.0,0.333,0.333,1.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,2.0,2.0,4.0
28,2.667,3.333,3.667,4.333,5.0
29,0.0,0.333,0.333,0.667,1.333
30,6.0,7.0,8.0,9.0,10.0
31,0.0,0.333,0.333,0.667,1.333
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,2.0,2.0,2.0,2.0,3.0
41,0.0,0.5,0.5,0.5,1.0
42,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0
44,3.0,4.0,4.0,4.0,5.0
45,0.0,0.0,0.0,0.0,0.0
46,0.4,0.6,0.6,0.8,0.8
47,0.0,0.0,0.0,0.0,0.0
48,0.5,0.5,0.5,1.0,1.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
