week,p2.5,p25,median,p75,p97.5
0,3.0,4.0,5.0,7.0,9.0
1,2.5,4.0,5.0,5.5,7.5
2,1.0,1.6,2.0,2.4,3.0
3,0.0,1.0,2.0,3.0,5.0
4,0.833,1.333,1.667,2.0,2.667
5,0.5,1.5,2.0,2.5,4.0
6,0.667,1.333,1.667,2.333,3.333
7,0.333,1.333,1.667,2.333,3.333
8,0.4,1.0,1.4,1.6,2.4
9,0.4,1.0,1.2,1.6,2.2
10,0.455,0.727,0.909,1.091,1.364
11,0.333,0.667,1.0,1.167,1.833
12,0.2,0.6,0.8,1.2,1.8
13,0.2,0.6,0.8,1.0,1.6
14,0.0,0.4,0.6,0.8,1.4
15,0.222,0.444,0.667,0.778,1.111
16,0.0,0.5,0.75,1.0,1.5
17,0.143,0.286,0.429,0.714,1.0
18,0.0,0.2,0.4,0.6,1.2
19,0.0,0.25,0.25,0.5,1.0
20,0.0,0.0,0.167,0.333,0.5
21,0.0,0.0,0.5,0.5,1.5
22,0.0,0.0,0.0,1.0,2.0
23,0.0,0.0,0.333,0.333,1.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,0.333,0.667
29,0.0,0.0,0.0,0.0,0.333
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
