week,p2.5,p25,median,p75,p97.5
0,0.0,1.0,1.0,2.0,4.0
1,3.0,4.0,5.0,5.5,6.5
2,1.0,1.4,1.8,2.0,2.6
3,0.0,1.0,2.0,3.0,5.0
4,0.996,1.5,1.833,2.167,2.667
5,0.0,1.0,1.5,2.0,3.5
6,0.667,1.333,2.0,2.333,3.667
7,0.667,1.667,2.0,2.667,3.667
8,1.0,1.6,2.0,2.2,3.0
9,0.2,0.8,1.0,1.2,2.0
10,0.364,0.545,0.727,0.909,1.182
11,0.333,0.667,1.0,1.167,1.671
12,0.4,0.8,1.0,1.4,1.8
13,0.2,0.6,0.8,1.0,1.6
14,0.195,0.4,0.6,1.0,1.6
15,0.222,0.556,0.667,0.889,1.222
16,0.0,0.5,0.75,1.0,1.5
17,0.0,0.143,0.286,0.429,0.714
18,0.0,0.2,0.2,0.4,0.8
19,0.0,0.25,0.25,0.5,1.0
20,0.0,0.167,0.167,0.333,0.667
21,0.0,0.0,0.0,0.0,0.5
22,0.0,0.0,0.0,0.0,0.0
23,2.0,2.333,2.667,3.0,3.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1.0,2.0
28,0.0,0.333,0.667,1.0,1.333
29,0.333,0.667,1.0,1.333,2.0
30,0.0,0.0,1.0,1.0,3.0
31,0.333,1.0,1.333,2.0,2.667
32,0.0,0.0,1.0,2.0,3.0
33,0.0,1.0,1.5,2.0,3.0
34,0.0,0.0,0.0,0.0,0.0
35,0.25,0.5,0.75,1.0,1.75
36,0.0,0.2,0.4,0.6,0.8
37,0.0,0.0,0.0,1.0,2.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,1.0,1.0,2.0,4.0
41,0.0,0.5,1.0,1.5,2.5
42,0.333,1.0,1.333,1.667,2.333
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,1.0,2.0,3.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.4,0.6,0.6,1.0
47,0.0,0.0,0.0,0.5,1.0
48,0.0,0.0,0.0,0.0,0.5
49,0.0,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
