week,p2.5,p25,median,p75,p97.5
0,3.0,6.0,7.0,8.0,11.0
1,3.5,4.5,5.5,6.0,7.0
2,1.0,1.2,1.4,1.6,1.8
3,0.0,0.0,1.0,2.0,3.0
4,0.0,0.167,0.167,0.333,0.5
5,0.0,1.0,1.0,1.5,2.0
6,0.333,0.667,0.667,0.667,1.0
7,1.0,1.333,1.667,1.667,2.333
8,1.4,2.0,2.2,2.4,3.0
9,0.8,1.2,1.4,1.8,2.2
10,0.364,0.545,0.636,0.727,0.909
11,1.0,1.333,1.5,1.667,2.167
12,0.4,0.6,0.8,1.0,1.6
13,1.2,1.6,1.8,2.0,2.4
14,0.8,1.0,1.2,1.4,1.8
15,0.333,0.444,0.556,0.667,0.778
16,0.0,0.25,0.5,0.5,1.0
17,0.286,0.286,0.429,0.429,0.571
18,0.4,0.6,0.6,0.6,0.8
19,0.25,0.25,0.25,0.25,0.5
20,0.167,0.333,0.333,0.5,0.667
21,0.5,0.5,0.5,0.5,1.0
22,1.0,2.0,2.0,2.0,2.0
23,0.333,0.333,0.667,0.667,0.667
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,1.0,1.0,1.0,2.0,3.0
28,2.667,3.0,3.333,3.333,3.667
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,1.0,1.0,2.0
31,1.333,1.667,2.0,2.0,2.333
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.5,0.5,1.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.2,0.2
37,0.0,0.0,0.0,0.0,0.0
