week,p2.5,p25,median,p75,p97.5
0,0.0,2.0,3.0,4.0,6.0
1,0.988,1.5,2.0,2.5,3.5
2,0.8,1.0,1.2,1.4,1.6
3,0.0,0.0,1.0,2.0,3.0
4,0.0,0.167,0.167,0.333,0.337
5,0.0,0.0,0.5,0.5,0.5
6,0.0,0.667,1.0,1.333,1.667
7,1.658,2.333,3.0,3.333,4.333
8,0.8,1.2,1.6,1.8,2.4
9,0.6,1.0,1.4,1.6,2.2
10,0.091,0.273,0.364,0.455,0.636
11,0.333,0.833,1.0,1.167,1.667
12,0.2,0.6,0.8,1.0,1.6
13,0.6,1.2,1.4,1.6,2.2
14,0.2,0.6,0.8,1.0,1.4
15,0.111,0.222,0.333,0.444,0.667
16,0.0,0.25,0.5,0.5,1.0
17,0.143,0.286,0.429,0.571,0.857
18,0.0,0.2,0.4,0.4,0.6
19,0.0,0.25,0.25,0.25,0.25
20,0.167,0.167,0.167,0.333,0.333
21,0.0,0.0,0.0,0.0,0.0
22,1.0,1.0,1.0,1.0,1.0
23,0.333,0.333,0.333,0.333,0.667
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,1.667,2.0,2.333,2.333,2.667
29,0.0,0.0,0.0,0.0,0.333
30,0.0,0.0,1.0,1.0,2.0
31,0.333,0.667,1.0,1.333,1.667
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.2,0.2,0.2,0.4
37,0.0,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,1.0,1.0,1.0,1.0,1.0
41,1.0,1.5,2.0,2.0,3.0
42,0.333,0.333,0.667,0.667,1.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,1.0,2.0,2.0,4.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.2,0.2,0.4
47,0.0,0.0,0.0,0.0,0.0
48,0.5,0.5,0.5,0.5,0.5
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
