run,day,ID,status,Lat,Lon
2,1,31,C,33.515,-37.5675
2,2,31,C,33.515,-37.5675
2,2,2728,L,33.552,-37.7507
2,3,31,C,33.515,-37.5675
2,3,2728,L,33.552,-37.7507
2,4,31,C,33.515,-37.5675
2,4,2728,L,33.552,-37.7507
2,5,31,C,33.515,-37.5675
2,5,2728,L,33.552,-37.7507
2,6,31,C,33.515,-37.5675
2,6,2728,L,33.552,-37.7507
2,7,31,C,33.515,-37.5675
2,7,1922,L,33.407,-37.2380
2,7,2728,L,33.552,-37.7507
2,8,31,C,33.515,-37.5675
2,8,715,L,33.302,-37.0091
2,8,1922,L,33.407,-37.2380
2,8,2728,L,33.552,-37.7507
2,9,31,N,33.515,-37.5675
2,9,715,L,33.302,-37.0091
2,9,1908,L,33.282,-36.9530
2,9,1922,L,33.407,-37.2380
2,9,1950,L,33.137,-37.0975
2,9,2728,L,33.552,-37.7507
2,10,31,N,33.515,-37.5675
2,10,636,L,33.315,-36.8601
2,10,715,L,33.302,-37.0091
2,10,1908,L,33.282,-36.9530
2,10,1914,L,33.215,-36.9742
2,10,1922,L,33.407,-37.2380
2,10,1950,L,33.137,-37.0975
2,10,1988,L,33.067,-37.0964
2,10,2728,B,33.552,-37.7507
2,11,31,N,33.515,-37.5675
2,11,636,L,33.315,-36.8601
2,11,715,L,33.302,-37.0091
2,11,1908,L,33.282,-36.9530
2,11,1914,L,33.215,-36.9742
2,11,1922,L,33.407,-37.2380
2,11,1950,L,33.137,-37.0975
2,11,1970,L,33.354,-36.6771
2,11,1988,L,33.067,-37.0964
2,11,2728,C,33.552,-37.7507
2,12,31,N,33.515,-37.5675
2,12,636,L,33.315,-36.8601
2,12,715,L,33.302,-37.0091
2,12,1109,L,33.209,-36.6411
2,12,1908,L,33.282,-36.9530
2,12,1914,L,33.215,-36.9742
2,12,1921,L,32.975,-36.9166
2,12,1922,L,33.407,-37.2380
2,12,1950,L,33.137,-37.0975
2,12,1970,L,33.354,-36.6771
2,12,1988,L,33.067,-37.0964
2,12,2728,C,33.552,-37.7507
2,12,2793,L,33.330,-36.7134
2,13,31,N,33.515,-37.5675
2,13,636,L,33.315,-36.8601
2,13,715,L,33.302,-37.0091
2,13,1109,L,33.209,-36.6411
2,13,1908,L,33.282,-36.9530
2,13,1914,L,33.215,-36.9742
2,13,1921,L,32.975,-36.9166
2,13,1922,L,33.407,-37.2380
2,13,1950,L,33.137,-37.0975
2,13,1970,L,33.354,-36.6771
2,13,1974,L,33.470,-36.6638
2,13,1988,L,33.067,-37.0964
2,13,1999,L,33.154,-36.6019
2,13,2728,C,33.552,-37.7507
2,13,2793,L,33.330,-36.7134
2,13,3242,L,32.958,-36.7745
2,14,31,N,33.515,-37.5675
2,14,636,L,33.315,-36.8601
2,14,715,L,33.302,-37.0091
2,14,1109,L,33.209,-36.6411
2,14,1351,L,32.894,-36.7691
2,14,1908,L,33.282,-36.9530
2,14,1914,L,33.215,-36.9742
2,14,1921,L,32.975,-36.9166
2,14,1922,L,33.407,-37.2380
2,14,1950,L,33.137,-37.0975
2,14,1970,L,33.354,-36.6771
2,14,1973,L,32.955,-36.8383
2,14,1974,L,33.470,-36.6638
2,14,1983,L,33.035,-36.5559
2,14,1988,L,33.067,-37.0964
2,14,1999,L,33.154,-36.6019
2,14,2728,C,33.552,-37.7507
2,14,2793,L,33.330,-36.7134
2,14,3065,L,33.004,-36.5601
2,14,3242,L,32.958,-36.7745
2,15,31,N,33.515,-37.5675
