run,day,ID,status,Lat,Lon
5,1,31,C,33.515,-37.5675
5,2,31,C,33.515,-37.5675
5,2,1922,L,33.407,-37.2380
5,2,2728,L,33.552,-37.7507
5,3,31,C,33.515,-37.5675
5,3,715,L,33.302,-37.0091
5,3,1922,L,33.407,-37.2380
5,3,2728,L,33.552,-37.7507
5,4,31,C,33.515,-37.5675
5,4,715,L,33.302,-37.0091
5,4,731,L,33.785,-37.7894
5,4,1922,L,33.407,-37.2380
5,4,1950,L,33.137,-37.0975
5,4,2728,L,33.552,-37.7507
5,4,2793,L,33.330,-36.7134
5,5,31,C,33.515,-37.5675
5,5,636,L,33.315,-36.8601
5,5,715,L,33.302,-37.0091
5,5,731,L,33.785,-37.7894
5,5,1914,L,33.215,-36.9742
5,5,1922,L,33.407,-37.2380
5,5,1950,L,33.137,-37.0975
5,5,1970,L,33.354,-36.6771
5,5,1988,L,33.067,-37.0964
5,5,2728,L,33.552,-37.7507
5,5,2793,L,33.330,-36.7134
5,5,3267,L,33.990,-37.6930
5,6,31,C,33.515,-37.5675
5,6,636,L,33.315,-36.8601
5,6,715,L,33.302,-37.0091
5,6,731,L,33.785,-37.7894
5,6,1282,L,33.887,-37.5334
5,6,1908,L,33.282,-36.9530
5,6,1914,L,33.215,-36.9742
5,6,1922,L,33.407,-37.2380
5,6,1950,L,33.137,-37.0975
5,6,1970,L,33.354,-36.6771
5,6,1974,L,33.470,-36.6638
5,6,1988,L,33.067,-37.0964
5,6,2728,L,33.552,-37.7507
5,6,2793,L,33.330,-36.7134
5,6,3267,L,33.990,-37.6930
5,7,31,C,33.515,-37.5675
5,7,636,L,33.315,-36.8601
5,7,715,L,33.302,-37.0091
5,7,731,L,33.785,-37.7894
5,7,1282,L,33.887,-37.5334
5,7,1908,L,33.282,-36.9530
5,7,1914,L,33.215,-36.9742
5,7,1921,L,32.975,-36.9166
5,7,1922,L,33.407,-37.2380
5,7,1950,L,33.137,-37.0975
5,7,1970,L,33.354,-36.6771
5,7,1974,L,33.470,-36.6638
5,7,1980,L,33.630,-36.8394
5,7,1988,L,33.067,-37.0964
5,7,2728,L,33.552,-37.7507
5,7,2793,L,33.330,-36.7134
5,7,3267,L,33.990,-37.6930
5,8,31,C,33.515,-37.5675
5,8,636,L,33.315,-36.8601
5,8,715,L,33.302,-37.0091
5,8,731,L,33.785,-37.7894
5,8,1109,L,33.209,-36.6411
5,8,1282,L,33.887,-37.5334
5,8,1908,L,33.282,-36.9530
5,8,1914,L,33.215,-36.9742
5,8,1921,L,32.975,-36.9166
5,8,1922,L,33.407,-37.2380
5,8,1932,L,33.536,-36.9744
5,8,1950,L,33.137,-37.0975
5,8,1956,L,33.824,-36.8848
5,8,1961,L,33.746,-36.5895
5,8,1970,L,33.354,-36.6771
5,8,1974,L,33.470,-36.6638
5,8,1980,L,33.630,-36.8394
5,8,1988,L,33.067,-37.0964
5,8,2728,L,33.552,-37.7507
5,8,2793,L,33.330,-36.7134
5,8,3267,L,33.990,-37.6930
5,9,31,C,33.515,-37.5675
5,9,445,L,33.845,-36.8654
5,9,636,L,33.315,-36.8601
5,9,715,B,33.302,-37.0091
5,9,731,L,33.785,-37.7894
5,9,1109,L,33.209,-36.6411
