No,report,report_info,order,date_report,date_submission,date_confirmation,province,location,lat,long,start,end,species,susceptible,cases,deaths,destroyed,slaughtered
37,en_fup_0000028540_20181106_175332, (this report ,5,05/11/2018,06/11/2018,22/10/2018,Hunan,Tujia and Miao _Autonomous Prefecture of_Xiangxi_Baojing_Farm_Datian Village Qianling_Township,28.684,109.646,31/10/2018,NA,Swine,119.0,11.0,4,115,0.0
38,en_fup_0000028575_20181109_173542,other report ,1,09/11/2018,09/11/2018,22/10/2018,Hunan,Changde_Taoyuan_Farm_Qinglin Township,28.963,111.485,28/09/2018,NA,Swine,268.0,208.0,31,237,0.0
38,en_fup_0000028575_20181109_173542,other report ,2,09/11/2018,09/11/2018,22/10/2018,Hunan,Yiyang_Taojiang_Farm_Daligang_Community Daligang_Township,28.483,111.887,03/10/2018,NA,Swine,546.0,44.0,17,529,0.0
38,en_fup_0000028575_20181109_173542,other report ,3,09/11/2018,09/11/2018,22/10/2018,Hunan,Huaihua_Yuanling_Farm_Gaoping_Village Qinglang_Township,28.747,110.857,15/10/2018,NA,Swine,146.0,25.0,22,124,0.0
38,en_fup_0000028575_20181109_173542,other report ,4,09/11/2018,09/11/2018,22/10/2018,Hunan,Changde_Taoyuan_Farm_Huangpodian Village _Qihe Township,29.101,111.429,22/10/2018,NA,Swine,12741.0,106.0,99,12642,0.0
38,en_fup_0000028575_20181109_173542, (this report ,5,09/11/2018,09/11/2018,22/10/2018,Hunan,Loudi_Lianyuan_Backyard_Shiping_Village Qiaotouhe_Township,27.831,111.874,22/10/2018,NA,Swine,9.0,4.0,1,8,0.0
38,en_fup_0000028575_20181109_173542,other report ,6,09/11/2018,09/11/2018,22/10/2018,Hunan,Tujia and Miao _Autonomous Prefecture of_Xiangxi_Baojing_Farm_Datian Village Qianling_Township,28.684,109.646,31/10/2018,NA,Swine,119.0,11.0,4,115,0.0
39,en_fup_0000028576_20181109_170053,other report ,1,09/11/2018,09/11/2018,21/09/2018,Jilin,Gongzhuling_Farm_Daxing Village Nanweizi_Township,43.293,124.433,17/09/2018,NA,Swine,484.0,56.0,56,428,0.0
39,en_fup_0000028576_20181109_170053,other report ,2,09/11/2018,09/11/2018,21/09/2018,Jilin,Songyuan_Changling_Backyard_Liangwo Village Liushui_Township,44.171,124.086,25/09/2018,NA,Swine,44.0,8.0,3,41,0.0
39,en_fup_0000028576_20181109_170053, (this report ,3,09/11/2018,09/11/2018,21/09/2018,Jilin,Yanbian Korean _Autonomous Prefecture_Longjing City_Farm_Dama Village  Laotougou_Township,42.841,129.283,02/11/2018,NA,Swine,930.0,144.0,144,786,0.0
40,en_fup_0000028599_20181112_124801,other report ,1,10/11/2018,12/11/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,NA,Swine,459.0,185.0,80,379,0.0
40,en_fup_0000028599_20181112_124801,other report ,2,10/11/2018,12/11/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,NA,Swine,440.0,153.0,111,329,0.0
40,en_fup_0000028599_20181112_124801,other report ,3,10/11/2018,12/11/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Township,30.594,118.393,22/08/2018,NA,Swine,285.0,63.0,42,243,0.0
40,en_fup_0000028599_20181112_124801,other report ,4,10/11/2018,12/11/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,NA,Swine,308.0,152.0,83,225,0.0
40,en_fup_0000028599_20181112_124801,other report ,5,10/11/2018,12/11/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Longtan Village  Xuzhen_Township,31.089,118.406,31/08/2018,NA,Swine,30.0,13.0,4,26,0.0
40,en_fup_0000028599_20181112_124801,other report ,6,10/11/2018,12/11/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Tianhu Township,30.867,118.643,31/08/2018,NA,Swine,52.0,15.0,15,37,0.0
40,en_fup_0000028599_20181112_124801,other report ,7,10/11/2018,12/11/2018,30/08/2018,Anhui,Chuzhou_Fengyang_Farm_Wugang Village  Damiao_Township,32.782,117.449,02/09/2018,NA,Swine,886.0,62.0,22,864,0.0
40,en_fup_0000028599_20181112_124801,other report ,8,10/11/2018,12/11/2018,30/08/2018,Anhui,Tongling_Yi an District_Farm_Shun an Township,30.585,117.575,07/09/2018,NA,Swine,219.0,63.0,23,196,0.0
40,en_fup_0000028599_20181112_124801, (this report ,9,10/11/2018,12/11/2018,30/08/2018,Anhui,Chizhou_Qingyang_Farm_Huangshan_Village Muzhen_Township,30.704,117.985,07/11/2018,NA,Swine,10286.0,96.0,47,10239,0.0
41,en_fup_0000028626_20181115_120136,other report ,1,13/11/2018,15/11/2018,07/11/2018,Hubei,Huanggang_Luotian_Farm_Baihewan Village  Hepu_Township,31.012,115.439,30/10/2018,NA,Swine,821.0,22.0,4,817,0.0
41,en_fup_0000028626_20181115_120136, (this report ,2,13/11/2018,15/11/2018,07/11/2018,Hubei,Huanggang_Wuxue City_Backyard_Lidingwu_Cummunity Wuxue_Office,29.851,115.524,05/11/2018,NA,Swine,280.0,7.0,6,274,0.0
42,en_fup_0000028644_20181119_183432,other report ,1,19/11/2018,19/11/2018,07/11/2018,Hubei,Huanggang_Luotian_Farm_Baihewan Village  Hepu_Township,31.012,115.439,30/10/2018,NA,Swine,821.0,22.0,4,817,0.0
42,en_fup_0000028644_20181119_183432,other report ,2,19/11/2018,19/11/2018,07/11/2018,Hubei,Huanggang_Wuxue City_Backyard_Lidingwu_Cummunity Wuxue_Office,29.851,115.524,05/11/2018,NA,Swine,280.0,7.0,6,274,0.0
42,en_fup_0000028644_20181119_183432, (this report ,3,19/11/2018,19/11/2018,07/11/2018,Hubei,Huanggang_Xishui_Farm_Fangpu Village Lanxi_Township,30.344,115.178,12/11/2018,NA,Swine,636.0,24.0,13,623,0.0
43,en_fup_0000028665_20181122_134358,other report ,1,16/11/2018,22/11/2018,21/09/2018,Jilin,Gongzhuling_Farm_Daxing Village Nanweizi_Township,43.293,124.433,17/09/2018,NA,Swine,484.0,56.0,56,428,0.0
43,en_fup_0000028665_20181122_134358,other report ,2,16/11/2018,22/11/2018,21/09/2018,Jilin,Songyuan_Changling_Backyard_Liangwo Village Liushui_Township,44.171,124.086,25/09/2018,NA,Swine,44.0,8.0,3,41,0.0
43,en_fup_0000028665_20181122_134358,other report ,3,16/11/2018,22/11/2018,21/09/2018,Jilin,Yanbian Korean _Autonomous Prefecture_Longjing City_Farm_Dama Village  Laotougou_Township,42.841,129.283,02/11/2018,NA,Swine,930.0,144.0,144,786,0.0
43,en_fup_0000028665_20181122_134358, (this report ,4,16/11/2018,22/11/2018,21/09/2018,Jilin,Baishan_Hunjiang District_Forest_Daqinggou Village _Hongtuya Township,41.807,126.459,13/11/2018,NA,Wild boar:Suidae,NA,1.0,1,0,0.0
44,en_fup_0000028666_20181122_135736,other report ,1,16/11/2018,19/11/2018,20/10/2018,Yunnan,Zhaotong_Zhenxiong_Farm_Tianba Village Niuchang_Township,27.533,104.616,19/10/2018,NA,Swine,804.0,298.0,298,506,0.0
44,en_fup_0000028666_20181122_135736,other report ,2,16/11/2018,19/11/2018,20/10/2018,Yunnan,Zhaotong_Zhenxiong_Farm_Muxiang_Village Muxiang_Township,27.568,105.188,19/10/2018,NA,Swine,353.0,247.0,247,106,0.0
44,en_fup_0000028666_20181122_135736,other report ,3,16/11/2018,19/11/2018,20/10/2018,Yunnan,Pu''''er City_Simao District_Backyard_Guanfang_Village Liushun_Township,22.619,100.719,27/10/2018,NA,Swine,229.0,5.0,1,228,0.0
44,en_fup_0000028666_20181122_135736, (this report ,4,16/11/2018,19/11/2018,20/10/2018,Yunnan,Zhaotong_Weixin_Backyard_Heba Village Shuitian_Township,27.78,105.235,09/11/2018,NA,Swine,1.0,1.0,1,0,0.0
44,en_fup_0000028666_20181122_135736, (this report ,5,16/11/2018,19/11/2018,20/10/2018,Yunnan,Kunming_Chenggong District_Slaughterhouse_Xiaowangjiayin,24.915,102.795,15/11/2018,NA,Swine,348.0,NA,0,348,0.0
45,en_fup_0000028668_20181119_183745,other report ,1,17/11/2018,19/11/2018,08/11/2018,Jiangxi,Shangrao_Wannian_Farm_Huangying Village _Chenying Township,28.686,117.029,07/11/2018,NA,Swine,154.0,49.0,49,105,0.0
45,en_fup_0000028668_20181119_183745, (this report ,2,17/11/2018,19/11/2018,08/11/2018,Jiangxi,Shangrao_Boyang_Farm_Hongyuan Village  Lutian_Township,28.94,116.895,16/11/2018,NA,Swine,150.0,10.0,10,140,0.0
46,en_fup_0000028683_20181121_131005,other report,1,19/11/2018,21/11/2018,05/09/2018,Heilongjiang,Jiamusi_Backyard_Fanjia Tun  Changqing_Township,46.821,130.273,01/09/2018,NA,Swine,87.0,39.0,12,75,0.0
46,en_fup_0000028683_20181121_131005,other report,2,19/11/2018,21/11/2018,05/09/2018,Heilongjiang,Jiamusi_Xiangyang District_Farm_Heping Village,46.778,130.367,03/09/2018,NA,Swine,203.0,26.0,10,193,0.0
46,en_fup_0000028683_20181121_131005, (this report,3,19/11/2018,21/11/2018,05/09/2018,Heilongjiang,Harbin_Daowai District_Farm_Qinlao Village  Tuanjie_Township,45.769,126.818,14/11/2018,NA,Swine,900.0,269.0,269,631,0.0
47,en_fup_0000028702_20181122_161808,other report ,1,21/11/2018,22/11/2018,22/10/2018,Hunan,Changde_Taoyuan_Farm_Qinglin Township,28.963,111.485,28/09/2018,NA,Swine,268.0,208.0,31,237,0.0
47,en_fup_0000028702_20181122_161808,other report ,2,21/11/2018,22/11/2018,22/10/2018,Hunan,Yiyang_Taojiang_Farm_Daligang_Community Daligang_Township,28.483,111.887,03/10/2018,NA,Swine,546.0,44.0,17,529,0.0
47,en_fup_0000028702_20181122_161808,other report ,3,21/11/2018,22/11/2018,22/10/2018,Hunan,Huaihua_Yuanling_Farm_Gaoping_Village Qinglang_Township,28.747,110.857,15/10/2018,NA,Swine,146.0,25.0,22,124,0.0
47,en_fup_0000028702_20181122_161808,other report ,4,21/11/2018,22/11/2018,22/10/2018,Hunan,Changde_Taoyuan_Farm_Huangpodian Village _Qihe Township,29.101,111.429,22/10/2018,NA,Swine,12741.0,106.0,99,12642,0.0
47,en_fup_0000028702_20181122_161808,other report ,5,21/11/2018,22/11/2018,22/10/2018,Hunan,Loudi_Lianyuan_Backyard_Shiping_Village Qiaotouhe_Township,27.831,111.874,22/10/2018,NA,Swine,9.0,4.0,1,8,0.0
47,en_fup_0000028702_20181122_161808,other report ,6,21/11/2018,22/11/2018,22/10/2018,Hunan,Tujia and Miao _Autonomous Prefecture of_Xiangxi_Baojing_Farm_Datian Village Qianling_Township,28.684,109.646,31/10/2018,NA,Swine,119.0,11.0,4,115,0.0
47,en_fup_0000028702_20181122_161808, (this report ,7,21/11/2018,22/11/2018,22/10/2018,Hunan,Huaihua_Hecheng District_Backyard_Qiujia Village _Huangjing´ao Township,27.611,109.945,14/11/2018,NA,Swine,73.0,61.0,55,18,0.0
48,en_fup_0000028734_20181126_125430,other,1,23/11/2018,26/11/2018,14/09/2018,Inner Mongolia,XilinGol League_Abaga_Backyard_Bieligutai Township,44.017,114.581,12/09/2018,NA,Swine,237.0,16.0,16,221,0.0
48,en_fup_0000028734_20181126_125430,other,2,23/11/2018,26/11/2018,14/09/2018,Inner Mongolia,XilinGol League_Zhenglan_Backyard_Caiyuan Village Shangdu_Township,42.151,116.003,15/09/2018,NA,Swine,159.0,14.0,8,151,0.0
48,en_fup_0000028734_20181126_125430,other,3,23/11/2018,26/11/2018,14/09/2018,Inner Mongolia,Hinggan League_Horqin Right Wing _Middle Banner_Backyard_Barenzelimu Township,42.011,120.003,17/09/2018,NA,Swine,138.0,23.0,22,116,0.0
48,en_fup_0000028734_20181126_125430,other,4,23/11/2018,26/11/2018,14/09/2018,Inner Mongolia,Huhhot_Huimin District_Slaughterhouse_Gangtielu Street,40.481,111.374,23/09/2018,NA,Swine,388.0,4.0,2,386,0.0
48,en_fup_0000028734_20181126_125430, (this,5,23/11/2018,26/11/2018,14/09/2018,Inner Mongolia,Baotou_Kundulun District_Backyard_Qiankouzi Village Kunbei_Township,40.709,109.826,21/11/2018,NA,Swine,88.0,69.0,53,35,0.0
49,en_fup_0000028756_20181127_163327,other report ,1,26/11/2018,27/11/2018,07/11/2018,Hubei,Huanggang_Luotian_Farm_Baihewan Village  Hepu_Township,31.012,115.439,30/10/2018,NA,Swine,821.0,22.0,4,817,0.0
49,en_fup_0000028756_20181127_163327,other report ,2,26/11/2018,27/11/2018,07/11/2018,Hubei,Huanggang_Wuxue City_Backyard_Lidingwu_Cummunity Wuxue_Office,29.851,115.524,05/11/2018,NA,Swine,280.0,7.0,6,274,0.0
49,en_fup_0000028756_20181127_163327,other report ,3,26/11/2018,27/11/2018,07/11/2018,Hubei,Huanggang_Xishui_Farm_Fangpu Village Lanxi_Township,30.344,115.178,12/11/2018,NA,Swine,636.0,24.0,13,623,0.0
49,en_fup_0000028756_20181127_163327, (this report ,4,26/11/2018,27/11/2018,07/11/2018,Hubei,Huanggang_Yangxin_Backyard_Shizhen_Village Chengdongxinqu_District,29.889,115.205,22/11/2018,NA,Swine,63.0,9.0,5,58,0.0
50,en_fup_0000028756_20181218_141712,other report ,1,26/11/2018,26/11/2018,07/11/2018,Hubei,Huanggang_Luotian_Farm_Baihewan Village  Hepu_Township,31.012,115.439,30/10/2018,NA,Swine,821.0,22.0,4,817,0.0
50,en_fup_0000028756_20181218_141712,other report ,2,26/11/2018,26/11/2018,07/11/2018,Hubei,Huanggang_Wuxue City_Backyard_Lidingwu_Cummunity Wuxue_Office,29.851,115.524,05/11/2018,NA,Swine,280.0,7.0,6,274,0.0
50,en_fup_0000028756_20181218_141712,other report ,3,26/11/2018,26/11/2018,07/11/2018,Hubei,Huanggang_Xishui_Farm_Fangpu Village Lanxi_Township,30.344,115.178,12/11/2018,NA,Swine,636.0,24.0,13,623,0.0
50,en_fup_0000028756_20181218_141712, (this report ,4,26/11/2018,26/11/2018,07/11/2018,Hubei,Huangshi_Yangxin_Backyard_Shizhen_Village Chengdongxinqu_District,29.889,115.205,22/11/2018,NA,Swine,63.0,9.0,5,58,0.0
51,en_fup_0000028798_20181203_164700,other report ,1,30/11/2018,03/12/2018,12/10/2018,Tianjin,Jizhou District_Farm_Laosongzhuang Village _Houjiaying Township,39.815,117.308,10/10/2018,NA,Swine,639.0,292.0,189,450,0.0
51,en_fup_0000028798_20181203_164700, (this report ,2,30/11/2018,03/12/2018,12/10/2018,Tianjin,Ninghe District_Farm_Wangzhuangzi Vilage _Panzhuang Township,39.301,117.387,26/11/2018,NA,Swine,361.0,67.0,67,294,0.0
52,en_fup_0000028839_20181207_144231,other report ,1,07/12/2018,07/12/2018,08/11/2018,Jiangxi,Shangrao_Wannian_Farm_Huangying Village _Chenying Township,28.686,117.029,07/11/2018,NA,Swine,154.0,49.0,49,105,0.0
52,en_fup_0000028839_20181207_144231,other report ,2,07/12/2018,07/12/2018,08/11/2018,Jiangxi,Shangrao_Boyang_Farm_Hongyuan Village  Lutian_Township,28.94,116.895,16/11/2018,NA,Swine,150.0,10.0,10,140,0.0
52,en_fup_0000028839_20181207_144231, (this report ,3,07/12/2018,07/12/2018,08/11/2018,Jiangxi,Jiujiang_Chaisang District_Farm_Matou Village  Mahuiling_Township,29.454,115.87,29/11/2018,NA,Swine,159.0,16.0,4,155,0.0
53,en_fup_0000028842_20181207_144009,other report ,1,07/12/2018,07/12/2018,23/11/2018,Beijing,Fangshan District_Farm_Guogezhuang Village _Qinglonghu Township,39.753,116.079,20/11/2018,NA,Swine,1325.0,49.0,49,1276,0.0
53,en_fup_0000028842_20181207_144009,other report ,2,07/12/2018,07/12/2018,23/11/2018,Beijing,Fangshan District_Farm_Xuezhuang Village _Liulihe Township,39.582,116.133,20/11/2018,NA,Swine,429.0,37.0,37,392,0.0
53,en_fup_0000028842_20181207_144009, (this report ,3,07/12/2018,07/12/2018,23/11/2018,Beijing,Tongzhou District_Farm_Xiaodonggezhuang_Village  Lucheng_Township,39.833,116.812,01/12/2018,NA,Swine,16543.0,85.0,17,16526,0.0
53,en_fup_0000028842_20181207_144009, (this report ,4,07/12/2018,07/12/2018,23/11/2018,Beijing,Shunyi District_Farm_Zhaoquanying Village _Zhaoquanying Township,40.211,116.587,04/12/2018,NA,Swine,34757.0,53.0,26,34731,0.0
54,en_fup_0000028844_20181207_174956,other report,1,07/12/2018,07/12/2018,05/09/2018,Heilongjiang,Jiamusi_Backyard_Fanjia Tun  Changqing_Township,46.821,130.273,01/09/2018,NA,Swine,87.0,39.0,12,75,0.0
54,en_fup_0000028844_20181207_174956,other report,2,07/12/2018,07/12/2018,05/09/2018,Heilongjiang,Jiamusi_Xiangyang District_Farm_Heping Village,46.778,130.367,03/09/2018,NA,Swine,203.0,26.0,10,193,0.0
54,en_fup_0000028844_20181207_174956,other report,3,07/12/2018,07/12/2018,05/09/2018,Heilongjiang,Harbin_Daowai District_Farm_Qinlao Village  Tuanjie_Township,45.769,126.818,14/11/2018,NA,Swine,900.0,269.0,269,631,0.0
54,en_fup_0000028844_20181207_174956, (this report,4,07/12/2018,07/12/2018,05/09/2018,Heilongjiang,Heihe_Aihui District_Farm_The third management_section Jinhe Farm,50.151,127.266,28/11/2018,NA,Wild boar:Suidae,375.0,77.0,77,298,0.0
55,en_fup_0000028859_20181207_144646,other report ,1,07/12/2018,07/12/2018,15/11/2018,Sichuan,Yibin_Gao County_Backyard_Gualu Village Qingfu_Township,28.465,104.544,13/11/2018,NA,Swine,40.0,16.0,10,30,0.0
55,en_fup_0000028859_20181207_144646,other report ,2,07/12/2018,07/12/2018,15/11/2018,Sichuan,Chengdu_Xinjing_Farm_Tiangong_Community Puxing_Township,30.436,103.918,13/11/2018,NA,Swine,110.0,27.0,13,97,0.0
55,en_fup_0000028859_20181207_144646, (this report ,3,07/12/2018,07/12/2018,15/11/2018,Sichuan,Luzhou_Hejiang_Farm_Wangwan Village _Zhenlong Township,28.807,105.78,27/11/2018,NA,Swine,26241.0,68.0,68,26173,0.0
56,en_fup_0000028860_20181207_183339,other report ,1,07/12/2018,07/12/2018,17/10/2018,Shanxi,Datong_Zuoyun_Backyard_Zhangjiachang Township,40.117,112.5034,16/10/2018,NA,Swine,160.0,7.0,4,156,0.0
56,en_fup_0000028860_20181207_183339,other report ,2,07/12/2018,07/12/2018,17/10/2018,Shanxi,Taiyuan_Yangqu_Farm_Nitun Village Nitun_Township,38.093,112.554,25/10/2018,NA,Swine,210.0,75.0,47,163,0.0
56,en_fup_0000028860_20181207_183339,other report ,3,07/12/2018,07/12/2018,17/10/2018,Shanxi,Taiyuan_Yangqu_Backyard_Xizhuang_Village Xilingjing_Township,38.132,112.328,30/10/2018,NA,Swine,175.0,25.0,7,168,0.0
56,en_fup_0000028860_20181207_183339, (this report ,4,07/12/2018,07/12/2018,17/10/2018,Shanxi,Linfen_Yaodu District_Backyard_Xinshi Village  Jiade_Township,35.993,111.493,03/12/2018,NA,Swine,28916.0,45.0,35,28881,0.0
57,en_fup_0000028891_20181211_130042,other report ,1,10/12/2018,10/12/2018,02/12/2018,Shaanxi,Xi an_Huyi District_Farm_Liudong Village  Weifeng_Township,34.196,108.627,27/11/2018,NA,Swine,1389.0,205.0,79,1310,0.0
57,en_fup_0000028891_20181211_130042,other report ,2,10/12/2018,10/12/2018,02/12/2018,Shaanxi,Xi an_Chang an District_Farm_Dongjiangpo Village _Duqu Township,34.084,109.035,27/11/2018,NA,Swine,3442.0,85.0,64,3378,0.0
57,en_fup_0000028891_20181211_130042, (this report ,3,10/12/2018,10/12/2018,02/12/2018,Shaanxi,Yulin_Shenmu_Backyard_Nihe Village  Yongxing_Township,38.882,110.509,03/12/2018,NA,Swine,33.0,19.0,19,14,0.0
58,en_fup_0000028892_20181211_130208,other report ,1,10/12/2018,10/12/2018,25/10/2018,Guizhou,Bijie_Hezhang_Backyard_Pingzi Village Zhezhuang_Township,27.326,104.841,14/10/2018,NA,Swine,10.0,8.0,8,2,0.0
58,en_fup_0000028892_20181211_130208,other report ,2,10/12/2018,10/12/2018,25/10/2018,Guizhou,Bijie_Qixingguan District_Backyard_Xingou_Village Qingchang_Township,27.369,105.057,24/10/2018,NA,Swine,49.0,25.0,25,24,0.0
58,en_fup_0000028892_20181211_130208, (this report ,3,10/12/2018,10/12/2018,25/10/2018,Guizhou,Guiyang_Baiyun District_Backyard_Xiaohe Village Dula_Township,26.681,106.747,06/12/2018,NA,Swine,190.0,5.0,5,185,0.0
59,en_fup_0000028923_20181214_132032,other report ,1,14/12/2018,14/12/2018,15/11/2018,Sichuan,Yibin_Gao County_Backyard_Gualu Village Qingfu_Township,28.465,104.544,13/11/2018,NA,Swine,40.0,16.0,10,30,0.0
59,en_fup_0000028923_20181214_132032,other report ,2,14/12/2018,14/12/2018,15/11/2018,Sichuan,Chengdu_Xinjing_Farm_Tiangong_Community Puxing_Township,30.436,103.918,13/11/2018,NA,Swine,110.0,27.0,13,97,0.0
59,en_fup_0000028923_20181214_132032,other report ,3,14/12/2018,14/12/2018,15/11/2018,Sichuan,Luzhou_Hejiang_Farm_Wangwan Village _Zhenlong Township,28.807,105.78,27/11/2018,NA,Swine,26241.0,68.0,68,26173,0.0
59,en_fup_0000028923_20181214_132032, (this report ,4,14/12/2018,14/12/2018,15/11/2018,Sichuan,Bazhong_Bazhou District_Farm_Gongqiao Village _Longbei Township,31.584,106.771,06/12/2018,NA,Swine,219.0,51.0,19,200,0.0
60,en_fup_0000028981_20181218_194444,other report ,1,17/12/2018,18/12/2018,15/11/2018,Sichuan,Yibin_Gao County_Backyard_Gualu Village Qingfu_Township,28.465,104.544,13/11/2018,NA,Swine,40.0,16.0,10,30,0.0
60,en_fup_0000028981_20181218_194444,other report ,2,17/12/2018,18/12/2018,15/11/2018,Sichuan,Chengdu_Xinjing_Farm_Tiangong_Community Puxing_Township,30.436,103.918,13/11/2018,NA,Swine,110.0,27.0,13,97,0.0
60,en_fup_0000028981_20181218_194444,other report ,3,17/12/2018,18/12/2018,15/11/2018,Sichuan,Luzhou_Hejiang_Farm_Wangwan Village _Zhenlong Township,28.807,105.78,27/11/2018,NA,Swine,26241.0,68.0,68,26173,0.0
60,en_fup_0000028981_20181218_194444,other report ,4,17/12/2018,18/12/2018,15/11/2018,Sichuan,Bazhong_Bazhou District_Farm_Gongqiao Village _Longbei Township,31.584,106.771,06/12/2018,NA,Swine,219.0,51.0,19,200,0.0
60,en_fup_0000028981_20181218_194444, (this report ,5,17/12/2018,18/12/2018,15/11/2018,Sichuan,Mianyang_Yanting_Farm_Xianshui Village _Fengling Township,31.225,105.397,12/12/2018,NA,Swine,210.0,35.0,26,184,0.0
61,en_fup_0000028982_20181218_194209,other report,1,17/12/2018,18/12/2018,05/09/2018,Heilongjiang,Jiamusi_Backyard_Fanjia Tun  Changqing_Township,46.821,130.273,01/09/2018,NA,Swine,87.0,39.0,12,75,0.0
61,en_fup_0000028982_20181218_194209,other report,2,17/12/2018,18/12/2018,05/09/2018,Heilongjiang,Jiamusi_Xiangyang District_Farm_Heping Village,46.778,130.367,03/09/2018,NA,Swine,203.0,26.0,10,193,0.0
61,en_fup_0000028982_20181218_194209,other report,3,17/12/2018,18/12/2018,05/09/2018,Heilongjiang,Harbin_Daowai District_Farm_Qinlao Village  Tuanjie_Township,45.769,126.818,14/11/2018,NA,Swine,900.0,269.0,269,631,0.0
61,en_fup_0000028982_20181218_194209,other report,4,17/12/2018,18/12/2018,05/09/2018,Heilongjiang,Heihe_Aihui District_Farm_The third management_section Jinhe Farm,50.151,127.266,28/11/2018,NA,Wild boar:Suidae,375.0,77.0,77,298,0.0
61,en_fup_0000028982_20181218_194209, (this report,5,17/12/2018,18/12/2018,05/09/2018,Heilongjiang,Jixi_Jiguan District_Backyard_Hongtai Village _Hongxing Township,45.279,130.99,11/12/2018,NA,Swine,84.0,24.0,24,60,0.0
62,en_fup_0000028993_20181220_201124,other report ,1,18/12/2018,20/12/2018,04/11/2018,Chongking,Fengdu_Farm_Baojialu Village Xingyi_Township,29.874,107.78,02/11/2018,NA,Swine,309.0,3.0,3,306,0.0
62,en_fup_0000028993_20181220_201124, (this report ,2,18/12/2018,20/12/2018,04/11/2018,Chongking,Bishan District_Backyard_Tuanba Village Dalu_Township,29.753,106.246,13/12/2018,NA,Swine,23.0,8.0,3,20,0.0
63,en_fup_0000029012_20181226_144537,other report ,1,22/12/2018,22/12/2018,08/11/2018,Fujian,Putian_Chengxiang District_Farm_Qingshan Village _Linchuan Township,25.297,119.028,06/11/2018,NA,Swine,4521.0,85.0,85,4436,0.0
63,en_fup_0000029012_20181226_144537, (this report ,2,22/12/2018,22/12/2018,08/11/2018,Fujian,Sanming_Youxi_Farm_Yongkou Village  Xibin_Township,26.284,118.35,18/12/2018,NA,Swine,11950.0,27.0,27,11923,0.0
63,en_fup_0000029012_20181226_144537,other report ,3,22/12/2018,22/12/2018,08/11/2018,Fujian,Nanping_Yanping District_Farm_Yangkeng Village _Wangtai Township,26.592,117.931,22/12/2018,NA,Swine,5776.0,35.0,11,5765,NA
64,en_fup_0000029025_20181226_202950,other report ,1,21/12/2018,26/12/2018,25/10/2018,Guizhou,Bijie_Hezhang_Backyard_Pingzi Village Zhezhuang_Township,27.326,104.841,14/10/2018,NA,Swine,10.0,8.0,8,2,0.0
64,en_fup_0000029025_20181226_202950,other report ,2,21/12/2018,26/12/2018,25/10/2018,Guizhou,Bijie_Qixingguan District_Backyard_Xingou_Village Qingchang_Township,27.369,105.057,24/10/2018,NA,Swine,49.0,25.0,25,24,0.0
64,en_fup_0000029025_20181226_202950,other report ,3,21/12/2018,26/12/2018,25/10/2018,Guizhou,Guiyang_Baiyun District_Backyard_Xiaohe Village Dula_Township,26.681,106.747,06/12/2018,NA,Swine,190.0,5.0,5,185,0.0
64,en_fup_0000029025_20181226_202950, (this report ,4,21/12/2018,26/12/2018,25/10/2018,Guizhou,Buyi and Miao _Autonomous Prefecture of_QianNan_Longli_Farm_Yangchangsi_Village Xingshi_Township,26.583,106.887,18/12/2018,NA,Swine,156.0,42.0,42,114,0.0
65,en_fup_0000029047_20181226_202431,other report ,1,24/12/2018,26/12/2018,19/12/2018,Guangdong,Zhuhai_Xiangzhou District_Slaughterhouse_Qianshan Slaughter house,22.267,113.522,17/12/2018,NA,Swine,50.0,11.0,11,39,0.0
65,en_fup_0000029047_20181226_202431, (this report ,2,24/12/2018,26/12/2018,19/12/2018,Guangdong,Guangzhou_Huangpu District_Farm_Jingxia Village Jiulong_Township,23.355,113.563,21/12/2018,NA,Swine,6027.0,30.0,9,6018,0.0
65,en_fup_0000029047_20181226_202431, (this report ,3,24/12/2018,26/12/2018,19/12/2018,Guangdong,Huizhou_Boluo_Backyard_Hutou Village Longxi_Township,23.094,114.118,23/12/2018,NA,Swine,90.0,11.0,11,79,0.0
66,en_fup_0000029049_20181226_203450,other report ,1,24/12/2018,26/12/2018,08/11/2018,Fujian,Putian_Chengxiang District_Farm_Qingshan Village _Linchuan Township,25.297,119.028,06/11/2018,NA,Swine,4521.0,85.0,85,4436,0.0
66,en_fup_0000029049_20181226_203450,other report ,2,24/12/2018,26/12/2018,08/11/2018,Fujian,Sanming_Youxi_Farm_Yongkou Village  Xibin_Township,26.284,118.35,18/12/2018,NA,Swine,11950.0,27.0,27,11923,0.0
66,en_fup_0000029049_20181226_203450, (this report ,3,24/12/2018,26/12/2018,08/11/2018,Fujian,Nanping_Yanping District_Farm_Yangkeng Village _Wangtai Township,26.592,117.931,22/12/2018,NA,Swine,5776.0,35.0,11,5765,0.0
